Shipment No.,Status,Direction,Product,Shipment Type,Product Type,Oper. Year,Oper. Period,Shipment Week,Shipment Day,Shipment Date,Principal,Carrier,Incoterm,Shipper Postcode,Shipper City,Shipper Country,Consignee Postcode,Consignee City,Consignee Country,Invoiced,Insurance,Letter Of Credit,Dangerous,Pieces,Actual Weight (kg),Volume (cbm),Charg. Weight (kg),W/M,FCL TEU,GP (EUR),Weight Group,Tracking Number,(Air)Port of Origin,Origin Country,(Air)Port of Destination,Destination Country,MS1 Count,MS2 Count,MS3 Count,MS4 Count,MS5 Count,MS6 Count
2101777,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/17,20200420,20.04.2020,Customer 333,MCL - MCL SHIPPING LLC (MASTER CONSOL LINE),EXW,TQ12 6RY,DEVON,AE - UNITED ARAB EMIRATES,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,900,4.530,-,5,0,140.58,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101778,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/17,20200422,22.04.2020,Customer 850,SHPT - SSC CONSOLIDATION SHIPCO,EXW,46446,EMMERICH AM RHEIN,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"3,611",9.398,-,9,0,138.00,-,-,HAMBURG,DE-GERMANY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101779,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/18,20200427,27.04.2020,Customer 322,EGLV - EVERGREEN SHIPPING AGENCY COMPANY (UAE) L.L.C,DDP,523333,GUANGDONG,CN - CHINA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"20,304",311.321,-,311,12,417.84,-,-,SHEKOU PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101780,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200417,17.04.2020,Customer 378,NAQA - VANGUARD LOGISTICS SERVICES UAE,CFR,48160,DERIO,ES - SPAIN,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,368,0.830,-,1,0,109.63,-,-,BARCELONA,ES-SPAIN,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
2101781,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/16,20200415,15.04.2020,Customer 669,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CIF,57319,BERLEBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"22,000",25.000,-,25,2,55.46,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101782,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200418,18.04.2020,Customer 646,SHPT - SSC CONSOLIDATION SHIPCO,CFR,188543,SINGAPORE,SG - SINGAPORE,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,038",7.500,-,8,0,109.63,-,-,SINGAPORE,SG-SINGAPORE,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
2101783,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200418,18.04.2020,Customer 814,SHPT - SSC CONSOLIDATION SHIPCO,CFR,400101,MUMBAI,IN - INDIA,.,RAS AL KHAIMA,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"4,858",10.000,-,10,0,242.59,-,-,JAWAHARLAL NEHRU (NHAVA SHEVA),IN-INDIA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101784,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/15,20200412,12.04.2020,Customer 669,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CIF,57319,BERLEBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"88,720",100.000,-,100,4,190.88,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101785,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200415,15.04.2020,Customer 285,YMLU - YANG MING (U.A.E) L.L.C.,CFR,42329,WUPPERTAL,DE - GERMANY,31413,DAMMAM,SA - SAUDI ARABIA,Yes,N,N,N,-,"2,275",10.880,-,11,0,-90.13,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101786,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200416,16.04.2020,Customer 333,MAEU - MAERSK KANOO UAE LLC,CFR,46250,INDIANAPOLIS,US - UNITED STATES OF AMERICA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,192,28.000,-,28,0,51.59,-,-,INDIANAPOLIS,US-UNITED STATES OF AMERICA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,1,0,1,0
2101787,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200415,15.04.2020,Customer 205,YMLU - YANG MING (U.A.E) L.L.C.,CFR,4000,ANTWERPEN,BE - BELGIUM,11383,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,-,"1,218",7.480,-,7,0,-73.72,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101788,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200416,16.04.2020,Customer 333,MAEU - MAERSK KANOO UAE LLC,CFR,46250,INDIANAPOLIS,US - UNITED STATES OF AMERICA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"2,908",11.299,-,11,0,51.59,-,-,INDIANAPOLIS,US-UNITED STATES OF AMERICA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,1,0,1,0
2101789,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200415,15.04.2020,Customer 547,YMLU - YANG MING (U.A.E) L.L.C.,CFR,4051,VAUX-SOUS-CHEVREMONT,BE - BELGIUM,-,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"6,560",4.253,-,7,0,330.86,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
2101790,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200415,15.04.2020,Customer 906,YMLU - YANG MING (U.A.E) L.L.C.,CFR,45307,ESSEN KRAY LEITHE,DE - GERMANY,.,ABU DHBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,120",4.883,-,5,0,-43.04,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101791,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200415,15.04.2020,Customer 373,YMLU - YANG MING (U.A.E) L.L.C.,CFR,9200,DENDERMONDE,BE - BELGIUM,51469,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,270,2.166,-,2,0,-16.46,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101792,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/17,20200424,24.04.2020,Customer 553,HLCU - HAPAG-LLOYD AGENCY L.L.C,DDP,3302,MOSSEDORF,CH - SWITZERLAND,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"31,600",320.000,-,320,16,752.51,-,-,ANTWERPEN,BE-BELGIUM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101793,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/16,20200413,13.04.2020,Customer 511,ESPU - EMIRATES SHIPPING LINE,CFR,71760,NEGERI SEMBILAN,MY - MALAYSIA,.,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"11,230",18.350,-,18,1,109.63,-,-,PORT KLANG (PELABUHAN KLANG),MY-MALAYSIA,SHARJAH,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101794,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/17,20200422,22.04.2020,Customer 322,EGLV - EVERGREEN SHIPPING AGENCY COMPANY (UAE) L.L.C,DDP,523333,GUANGDONG,CN - CHINA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"32,631",516.442,-,516,20,618.94,-,-,SHEKOU PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101795,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/15,20200412,12.04.2020,Customer 922,SHPT - SSC CONSOLIDATION SHIPCO,CFR,8707,UETIKON AM SEE,CH - SWITZERLAND,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"2,542",10.032,-,10,0,109.63,-,-,QINGDAO PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101796,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/16,20200413,13.04.2020,Customer 675,MAEU - MAERSK KANOO UAE LLC,EXW,47866,SANT AGATA FELTRIA,IT - ITALY,.,TECOM (MEDIA CITY),AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"9,582",52.000,-,52,4,203.49,-,-,GENOVA,IT-ITALY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101797,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200414,14.04.2020,Customer 333,MCL - MCL SHIPPING LLC (MASTER CONSOL LINE),EXW,520025,GUANGDONG,CN - CHINA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,142,0.289,-,0,0,146.52,-,-,JIANGMEN PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101798,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200414,14.04.2020,Customer 883,MAEU - MAERSK KANOO UAE LLC,EXW,22070,COMASCO,IT - ITALY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,346,1.000,-,1,0,3.17,-,-,GENOVA,IT-ITALY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101799,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200414,14.04.2020,Customer 333,NAQA - VANGUARD LOGISTICS SERVICES UAE,EXW,M3J2V2,TORONTO,CA - CANADA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,174,0.890,-,1,0,185.53,-,-,MONTREAL,CA-CANADA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101800,Active,Import,Oceanfreight LCL,LCL,LCL,2020,202004,2020/16,20200413,13.04.2020,Customer 269,NAQA - VANGUARD LOGISTICS SERVICES UAE,EXW,06851,NORWALK,US - UNITED STATES OF AMERICA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,846,5.663,-,6,0,122.53,-,-,SAVANNAH,US-UNITED STATES OF AMERICA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101801,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/15,20200412,12.04.2020,Customer 660,MAEU - MAERSK KANOO UAE LLC,EXW,584,AL KHAIMAH,AE - UNITED ARAB EMIRATES,-,DUBLIN,IE - IRELAND,Yes,N,N,N,-,"11,620",40.000,-,40,2,131.39,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,DUBLIN,IE-IRELAND,1,0,0,0,1,0
2101802,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/15,20200411,11.04.2020,Customer 660,MAEU - MAERSK KANOO UAE LLC,EXW,41049,SASSUOLO,IT - ITALY,.,RAS AL KHAIMAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"40,800",36.000,-,41,2,203.85,-,-,LA SPEZIA,IT-ITALY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101803,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/15,20200411,11.04.2020,Customer 660,MAEU - MAERSK KANOO UAE LLC,EXW,31019,PORTOBUFFOLE,IT - ITALY,.,RAS AL KHAIMAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"4,222",26.000,-,26,2,44.30,-,-,VADO/LUCCA,IT-ITALY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101804,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/15,20200411,11.04.2020,Customer 660,MAEU - MAERSK KANOO UAE LLC,EXW,41042,FIORANO  MODENESE,IT - ITALY,.,RAS AL KHAIMAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"7,000",44.000,-,44,3,57.68,-,-,GENOVA,IT-ITALY,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101805,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/16,20200416,16.04.2020,Customer 322,YMLU - YANG MING (U.A.E) L.L.C.,DDP,523333,GUANGDONG,CN - CHINA,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"13,736",208.774,-,209,8,356.37,-,-,SHEKOU PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101806,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/15,20200412,12.04.2020,Customer 294,MAEU - MAERSK KANOO UAE LLC,DAP,200746,ROMANIA,RO - ROMANIA,.,"JEBEL ALI, DUBAI",AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"79,625",74.500,-,80,5,120.06,-,-,SHANGHAI PT,CN-CHINA,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
2101807,Active,Import,Oceanfreight FCL,FCL,FCL,2020,202004,2020/15,20200408,08.04.2020,Customer 359,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,08110,BARCELONA,AE - UNITED ARAB EMIRATES,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"10,685",20.000,-,20,1,34.82,-,-,BARCELONA,ES-SPAIN,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
