Shipment No.,Status,Direction,Product,Shipment Type,Product Type,Oper. Year,Oper. Period,Shipment Week,Shipment Day,Shipment Date,Principal,Carrier,Incoterm,Shipper Postcode,Shipper City,Shipper Country,Consignee Postcode,Consignee City,Consignee Country,Invoiced,Insurance,Letter Of Credit,Dangerous,Pieces,Actual Weight (kg),Volume (cbm),Charg. Weight (kg),W/M,FCL TEU,GP (EUR),Weight Group,Tracking Number,(Air)Port of Origin,Origin Country,(Air)Port of Destination,Destination Country,MS1 Count,MS2 Count,MS3 Count,MS4 Count,MS5 Count,MS6 Count
1000014,Active,Import,Airfreight,Direct,Prime,2021,202112,2021/52,20211230,30.12.2021,Customer 14,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,510.77,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1000015,Active,Export,Airfreight,Master,Prime,2021,202112,2021/52,20211230,30.12.2021,Customer 15,LX - SWISS INTERNATIONAL AIRLINES LTD,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,13587,BERLIN,DE - GERMANY,Yes,N,N,N,0,"6,525",4.098,"6,525",-,-,0.00,5000,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,ZRH-ZURICH,CH-SWITZERLAND,0,0,0,0,0,0
1000016,Active,Import,Airfreight,Direct,Prime,2021,202112,2021/52,20211229,29.12.2021,Customer 16,SV - SAUDI ARABIAN AIRLINES,FOB,315000,NINGBO,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,"-1,018.18",1,-,PVG-SHANGHAI,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000017,Active,Import,Airfreight,Consol,Consolidation,2021,202112,2021/51,20211220,20.12.2021,Customer 17,AF - AIR FRANCE,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,271,1.104,271,-,-,59.88,250,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000018,Active,Import,Airfreight,Direct,Prime,2021,202112,2021/50,20211215,15.12.2021,Customer 14,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,526.80,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1000019,Active,Export,Airfreight,Master,Economy,2021,202112,2021/50,20211215,15.12.2021,Customer 18,TK - TURKISH AIRLINES,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,20090,SEGRATE,IT - ITALY,Yes,N,N,N,0,"4,732",51.352,"8,559",-,-,0.00,5000,-,DWC-DUBAI,AE-UNITED ARAB EMIRATES,MXP-MILAN,IT-ITALY,0,0,0,0,0,0
1000020,Active,Export,Airfreight,Direct,Economy,2021,202112,2021/49,20211211,11.12.2021,Customer 19,EK - EMIRATES AIRLINES,CFR,0000,DUBAI,AE - UNITED ARAB EMIRATES,.,LUANDA,AO - ANGOLA,Yes,N,N,N,1,18,0.384,64,-,-,3.42,45,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,LAD-LUANDA,AO-ANGOLA,1,1,1,1,0,0
1000021,Active,Export,Airfreight,B-to-B,Back-to-Back,2021,202111,2021/46,20211115,15.11.2021,Customer 20,KL - KLM - ROYAL DUTCH AIRLINES,DDP,-,BUBAI,AE - UNITED ARAB EMIRATES,2288 EW,RIJSWIJK ZH,NL - THE NETHERLANDS,Yes,N,N,N,1,27,0.085,27,-,-,627.90,25,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,AMS-AMSTERDAM,NL-NETHERLANDS,1,1,1,1,0,0
1000022,Active,Import,Airfreight,Consol,Consolidation,2021,202111,2021/45,20211108,08.11.2021,Customer 17,EY - ETIHAD CRYSTAL CARGO,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,223,0.979,223,-,-,58.06,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000023,Active,Export,Airfreight,B-to-B,Back-to-Back,2021,202108,2021/34,20210827,27.08.2021,Customer 21,KL - KLM - ROYAL DUTCH AIRLINES,CPT,.,DUBAI MARINA,AE - UNITED ARAB EMIRATES,2594 AC,'S-GRAVENHAGE,NL - THE NETHERLANDS,Yes,N,N,N,1,105,0.654,109,-,-,289.01,100,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,AMS-AMSTERDAM,NL-NETHERLANDS,1,1,1,1,0,0
1000024,Active,Import,Airfreight,Consol,Consolidation,2021,202108,2021/34,20210825,25.08.2021,Customer 17,QY - DHL AVIATION N.V.,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,115,0.336,115,-,-,94.37,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000025,Active,Import,Airfreight,Direct,Prime,2021,202108,2021/32,20210809,09.08.2021,Customer 22,BVA - BEURTVAARTADRES,EXW,24050,GRASSOBBIO,IT - ITALY,-,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,2,0.000,2,-,-,47.03,1,-,MIL-MILANO,IT-ITALY,SHJ-SHARJAH,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1000026,Active,Import,Airfreight,Consol,Consolidation,2021,202108,2021/31,20210804,04.08.2021,Customer 17,AF - AIR FRANCE,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,128,0.480,128,-,-,150.57,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000027,Active,Import,Airfreight,Master,Economy,2021,202108,2021/31,20210804,04.08.2021,Customer 11,LH - LUFTHANSA,EXW,20090,SEGRATE,IT - ITALY,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,127,2.961,494,-,-,0.00,250,-,MXP-MILAN,IT-ITALY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,0,0,0,0,0,0
1000028,Active,Export,Airfreight,Direct,Prime,2021,202107,2021/30,20210729,29.07.2021,Customer 23,7L - SILK WAY WEST AIRLINES,CIF,02021,CANTON,US - UNITED STATES OF AMERICA,188800,DANILOVA,RU - RUSSIA,Yes,N,N,N,0,0,0.000,0,-,-,421.88,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,SVO-MOSCOW,RU-RUSSIA,1,1,1,1,0,0
1000029,Active,Import,Airfreight,Consol,Consolidation,2021,202107,2021/30,20210728,28.07.2021,Customer 17,KL - KLM - ROYAL DUTCH AIRLINES,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,85,0.432,85,-,-,58.11,45,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000030,Active,Import,Airfreight,Consol,Consolidation,2021,202107,2021/28,20210716,16.07.2021,Customer 24,EK - EMIRATES AIRLINES,EXW,33378,RHEDA-WIEDENBRUCK,DE - GERMANY,0000,SAIF-ZONE,AE - UNITED ARAB EMIRATES,Yes,N,N,N,8,252,3.579,597,-,-,0.00,500,-,HAJ-HANNOVER,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1000031,Active,Import,Airfreight,Consol,Consolidation,2021,202107,2021/28,20210716,16.07.2021,Customer 24,EK - EMIRATES AIRLINES,EXW,33378,WIEDENBRUECK,DE - GERMANY,0000,SAIF-ZONE,AE - UNITED ARAB EMIRATES,Yes,N,N,N,5,"1,790",16.713,"2,785",-,-,"1,422.33",1000,-,HAJ-HANNOVER,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1000032,Active,Export,Airfreight,B-to-B,Back-to-Back,2021,202107,2021/26,20210702,02.07.2021,Customer 25,TK - TURKISH AIRLINES,CPT,.,SHARJAH,AE - UNITED ARAB EMIRATES,33020,TURKEY,TR - TURKEY,Yes,N,N,N,83,"1,500",13.573,"2,262",-,-,82.15,1000,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,ADA-ADANA,TR-TURKEY,1,1,1,1,0,0
1000033,Active,Import,Airfreight,Consol,Consolidation,2021,202106,2021/25,20210623,23.06.2021,Customer 26,EY - ETIHAD CRYSTAL CARGO,EXW,97311,FRESNO,US - UNITED STATES OF AMERICA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,3,528,4.320,720,-,-,"2,051.77",500,-,LAX-LOS ANGELES,US-UNITED STATES OF AMERICA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1000034,Active,Import,Airfreight,Direct,Prime,2021,202106,2021/23,20210607,07.06.2021,Customer 16,EY - ETIHAD CRYSTAL CARGO,FOB,000000,ZHEIJANG,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,-451.10,1,-,PVG-SHANGHAI,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000035,Active,Import,Airfreight,Direct,Prime,2021,202105,2021/21,20210525,25.05.2021,Customer 16,ET - ETHIOPIAN AIRLINES,FOB,560022,BANGALORE,IN - INDIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,99,"1,790",9.504,"1,790",-,-,0.00,1000,-,BLR-BENGALURU,IN-INDIA,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000036,Active,Import,Airfreight,Consol,Consolidation,2021,202105,2021/21,20210524,24.05.2021,Customer 17,KL - KLM - ROYAL DUTCH AIRLINES,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,2,154,1.056,176,-,-,126.59,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000037,Active,Import,Airfreight,Consol,Consolidation,2021,202105,2021/20,20210523,23.05.2021,Customer 27,EK - EMIRATES AIRLINES,FOB,315000,NINGBO,CN - CHINA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,-79.13,1,-,PVG-SHANGHAI,CN-CHINA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1000038,Active,Export,Airfreight,B-to-B,Back-to-Back,2021,202105,2021/20,20210521,21.05.2021,Customer 28,BA - BRITISH AIRWAYS LTD,CIP,47000,SELANGOR,MY - MALAYSIA,KA292RW,"PRESTWICK, AYRSHI",GB - UNITED KINGDOM,Yes,N,N,N,1,105,1.723,287,-,-,236.63,250,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,GLA-GLASGOW,GB-UNITED KINGDOM,1,1,1,1,0,0
1000039,Active,Export,Airfreight,Master,Prime,2021,202105,2021/20,20210521,21.05.2021,Customer 29,BA - BRITISH AIRWAYS LTD,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,WS11 0XG,CANNOCK,GB - UNITED KINGDOM,Yes,N,N,N,0,105,1.723,287,-,-,0.00,250,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,GLA-GLASGOW,GB-UNITED KINGDOM,0,0,0,0,0,0
1000040,Active,Import,Airfreight,Direct,Prime,2021,202105,2021/18,20210506,06.05.2021,Customer 16,SV - SAUDI ARABIAN AIRLINES,FOB,000000,SHENZHEN,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,-337.88,1,-,CAN-GUANGZHOU,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,1,0,1,0,0
1000041,Active,Import,Airfreight,Consol,Consolidation,2021,202105,2021/18,20210506,06.05.2021,Customer 27,EK - EMIRATES AIRLINES,FOB,000000,SHENZHEN,CN - CHINA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,4,12,0.064,12,-,-,-301.64,10,-,CAN-GUANGZHOU,CN-CHINA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,1,0,1,0,0
1000042,Active,Import,Airfreight,Consol,Consolidation,2021,202105,2021/18,20210503,03.05.2021,Customer 17,LH - LUFTHANSA,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,2,239,1.987,331,-,-,121.39,250,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000043,Active,Export,Airfreight,Non freight,Prime,2021,202104,2021/17,20210429,29.04.2021,Customer 30,BVA - BEURTVAARTADRES,CFR,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,-40.85,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1000044,Active,Import,Airfreight,Consol,Consolidation,2021,202104,2021/17,20210428,28.04.2021,Customer 27,SV - SAUDI ARABIAN AIRLINES,FOB,000000,ZHEIJANG,CN - CHINA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,5,72,0.566,94,-,-,-341.30,45,-,PVG-SHANGHAI,CN-CHINA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1000045,Active,Import,Airfreight,Consol,Consolidation,2021,202104,2021/16,20210425,25.04.2021,Customer 27,SV - SAUDI ARABIAN AIRLINES,FOB,000000,HANGZHOU,CN - CHINA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,6,52,0.312,52,-,-,-215.63,45,-,PVG-SHANGHAI,CN-CHINA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,1,0,1,0,0
1000046,Active,Import,Airfreight,Direct,Prime,2021,202104,2021/16,20210425,25.04.2021,Customer 16,EY - ETIHAD CRYSTAL CARGO,FOB,310000,HANGZHOU,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,-283.59,1,-,PVG-SHANGHAI,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,1,0,1,0,0
1000047,Active,Import,Airfreight,Consol,Consolidation,2021,202104,2021/16,20210420,20.04.2021,Customer 5,LH - LUFTHANSA,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,117,0.528,117,-,-,59.09,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
1000048,Active,Import,Airfreight,Consol,Consolidation,2021,202104,2021/14,20210405,05.04.2021,Customer 31,QY - DHL AVIATION N.V.,FOB,90069,WEST HOLLYWOOD,US - UNITED STATES OF AMERICA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,5,42,0.009,42,-,-,66.71,40,-,LAX-LOS ANGELES,US-UNITED STATES OF AMERICA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1000049,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,"17,700.86",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,0,0,0,0,0
1000050,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 32,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,21411,JEDDAH,SA - SAUDI ARABIA,Yes,N,N,N,45,"5,137",11.250,"5,137",-,-,"1,849.94",5000,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,JED-JEDDAH,SA-SAUDI ARABIA,1,1,1,1,0,0
1000051,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,790,0,0.000,0,-,-,194.57,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000052,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,"7,095",0,0.000,0,-,-,"1,532.33",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000053,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,401.03,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000054,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,495.10,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000055,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,324.29,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000056,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,346.07,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000057,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,"17,009.16",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000058,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,"1,856.63",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000059,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/13,20210331,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,"1,117.69",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000060,Active,Import,Airfreight,Consol,Consolidation,2021,202103,2021/13,20210330,30.03.2021,Customer 33,QR - QATAR AIRWAYS,EXW,93727,FRESNO,US - UNITED STATES OF AMERICA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,492,0.119,492,-,-,643.85,250,-,SFO-SAN FRANCISCO,US-UNITED STATES OF AMERICA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1000061,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/12,20210326,26.03.2021,Customer 34,BVA - BEURTVAARTADRES,EXW,00000,DOHA,QR - BOORDPROV INTRACOMM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,13,0.136,23,-,-,0.00,20,-,DOH-DOHA,QA-QATAR,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1000062,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/12,20210324,24.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,"2,842.14",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000063,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/12,20210323,23.03.2021,Customer 35,BVA - BEURTVAARTADRES,EXW,47329,VILLAVAQUERIN,ES - SPAIN,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,4,0.960,160,-,-,49.51,100,-,BCN-BARCELONA,ES-SPAIN,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1000064,Active,Import,Airfreight,Direct,Prime,2021,202103,2021/09,20210302,02.03.2021,Customer 35,BVA - BEURTVAARTADRES,EXW,46514,SCHERMBECK,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,16,0.001,16,-,-,30.70,15,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1000065,Active,Import,Airfreight,Consol,Consolidation,2021,202103,2021/09,20210301,01.03.2021,Customer 36,EK - EMIRATES AIRLINES,EXW,8219 PZ,LELYSTAD,NL - THE NETHERLANDS,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,2,56,0.132,56,-,-,298.41,45,-,AMS-AMSTERDAM,NL-NETHERLANDS,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1000066,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,360.19,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
1000067,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,707.00,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
1000068,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,"4,178.89",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
1000069,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,823.60,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
1000070,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,628.53,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
1000071,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0.000,0,-,-,"4,177.16",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,0,0,1
1000072,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0.000,0,-,-,"3,713.25",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000073,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,434,0,0.000,0,-,-,337.66,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000074,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,"19,039",0,0.000,0,-,-,"4,713.10",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
1000075,Active,Import,Airfreight,Direct,Prime,2021,202102,2021/08,20210228,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,6,0,0.000,0,-,-,12.38,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
