,ShipmentNo_,Status,Direction,Product,ShipmentType,ProductType,Oper_Year,Oper_Period,ShipmentWeek,ShipmentDay,ShipmentDate,Principal,Carrier,Incoterm,ShipperPostcode,ShipperCity,ShipperCountry,ConsigneePostcode,ConsigneeCity,ConsigneeCountry,Invoiced,Insurance,LetterOfCredit,Dangerous,Pieces,ActualWeight(kg),Volume(cbm),Charg_Weight(kg),W/M,FCLTEU,GP(EUR),WeightGroup,TrackingNumber,(Air)PortofOrigin,OriginCountry,(Air)PortofDestination,DestinationCountry,MS1Count,MS2Count,MS3Count,MS4Count,MS5Count,MS6Count
0,1000014,1,1,3,Direct,Prime,2021,202112,2021/52,00:00.0,30.12.2021,Customer 14,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,510.77,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
1,1000015,1,0,3,Master,Prime,2021,202112,2021/52,00:00.0,30.12.2021,Customer 15,LX - SWISS INTERNATIONAL AIRLINES LTD,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,13587,BERLIN,DE - GERMANY,Yes,N,N,N,0,"6,525",4.098,"6,525",-,-,0,5000,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,ZRH-ZURICH,CH-SWITZERLAND,0,0,0,0,0,0
2,1000016,1,1,3,Direct,Prime,2021,202112,2021/52,00:00.0,29.12.2021,Customer 16,SV - SAUDI ARABIAN AIRLINES,FOB,315000,NINGBO,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,"-1,018.18",1,-,PVG-SHANGHAI,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
3,1000017,1,1,3,Consol,Consolidation,2021,202112,2021/51,00:00.0,20.12.2021,Customer 17,AF - AIR FRANCE,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,271,1.104,271,-,-,59.88,250,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
4,1000018,1,1,3,Direct,Prime,2021,202112,2021/50,00:00.0,15.12.2021,Customer 14,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,526.8,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
5,1000019,1,0,3,Master,Economy,2021,202112,2021/50,00:00.0,15.12.2021,Customer 18,TK - TURKISH AIRLINES,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,20090,SEGRATE,IT - ITALY,Yes,N,N,N,0,"4,732",51.352,"8,559",-,-,0,5000,-,DWC-DUBAI,AE-UNITED ARAB EMIRATES,MXP-MILAN,IT-ITALY,0,0,0,0,0,0
6,1000020,1,0,3,Direct,Economy,2021,202112,2021/49,00:00.0,11.12.2021,Customer 19,EK - EMIRATES AIRLINES,CFR,0,DUBAI,AE - UNITED ARAB EMIRATES,.,LUANDA,AO - ANGOLA,Yes,N,N,N,1,18,0.384,64,-,-,3.42,45,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,LAD-LUANDA,AO-ANGOLA,1,1,1,1,0,0
7,1000021,1,0,3,B-to-B,Back-to-Back,2021,202111,2021/46,00:00.0,15.11.2021,Customer 20,KL - KLM - ROYAL DUTCH AIRLINES,DDP,-,BUBAI,AE - UNITED ARAB EMIRATES,2288 EW,RIJSWIJK ZH,NL - THE NETHERLANDS,Yes,N,N,N,1,27,0.085,27,-,-,627.9,25,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,AMS-AMSTERDAM,NL-NETHERLANDS,1,1,1,1,0,0
8,1000022,1,1,3,Consol,Consolidation,2021,202111,2021/45,00:00.0,08.11.2021,Customer 17,EY - ETIHAD CRYSTAL CARGO,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,223,0.979,223,-,-,58.06,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
9,1000023,1,0,3,B-to-B,Back-to-Back,2021,202108,2021/34,00:00.0,27.08.2021,Customer 21,KL - KLM - ROYAL DUTCH AIRLINES,CPT,.,DUBAI MARINA,AE - UNITED ARAB EMIRATES,2594 AC,'S-GRAVENHAGE,NL - THE NETHERLANDS,Yes,N,N,N,1,105,0.654,109,-,-,289.01,100,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,AMS-AMSTERDAM,NL-NETHERLANDS,1,1,1,1,0,0
10,1000024,1,1,3,Consol,Consolidation,2021,202108,2021/34,00:00.0,25.08.2021,Customer 17,QY - DHL AVIATION N.V.,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,115,0.336,115,-,-,94.37,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
11,1000025,1,1,3,Direct,Prime,2021,202108,2021/32,00:00.0,09.08.2021,Customer 22,BVA - BEURTVAARTADRES,EXW,24050,GRASSOBBIO,IT - ITALY,-,SHARJAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,2,0,2,-,-,47.03,1,-,MIL-MILANO,IT-ITALY,SHJ-SHARJAH,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
12,1000026,1,1,3,Consol,Consolidation,2021,202108,2021/31,00:00.0,04.08.2021,Customer 17,AF - AIR FRANCE,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,128,0.48,128,-,-,150.57,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
13,1000027,1,1,3,Master,Economy,2021,202108,2021/31,00:00.0,04.08.2021,Customer 11,LH - LUFTHANSA,EXW,20090,SEGRATE,IT - ITALY,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,127,2.961,494,-,-,0,250,-,MXP-MILAN,IT-ITALY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,0,0,0,0,0,0
14,1000028,1,0,3,Direct,Prime,2021,202107,2021/30,00:00.0,29.07.2021,Customer 23,7L - SILK WAY WEST AIRLINES,CIF,2021,CANTON,US - UNITED STATES OF AMERICA,188800,DANILOVA,RU - RUSSIA,Yes,N,N,N,0,0,0,0,-,-,421.88,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,SVO-MOSCOW,RU-RUSSIA,1,1,1,1,0,0
15,1000029,1,1,3,Consol,Consolidation,2021,202107,2021/30,00:00.0,28.07.2021,Customer 17,KL - KLM - ROYAL DUTCH AIRLINES,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,85,0.432,85,-,-,58.11,45,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
16,1000030,1,1,3,Consol,Consolidation,2021,202107,2021/28,00:00.0,16.07.2021,Customer 24,EK - EMIRATES AIRLINES,EXW,33378,RHEDA-WIEDENBRUCK,DE - GERMANY,0,SAIF-ZONE,AE - UNITED ARAB EMIRATES,Yes,N,N,N,8,252,3.579,597,-,-,0,500,-,HAJ-HANNOVER,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
17,1000031,1,1,3,Consol,Consolidation,2021,202107,2021/28,00:00.0,16.07.2021,Customer 24,EK - EMIRATES AIRLINES,EXW,33378,WIEDENBRUECK,DE - GERMANY,0,SAIF-ZONE,AE - UNITED ARAB EMIRATES,Yes,N,N,N,5,"1,790",16.713,"2,785",-,-,"1,422.33",1000,-,HAJ-HANNOVER,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
18,1000032,1,0,3,B-to-B,Back-to-Back,2021,202107,2021/26,00:00.0,02.07.2021,Customer 25,TK - TURKISH AIRLINES,CPT,.,SHARJAH,AE - UNITED ARAB EMIRATES,33020,TURKEY,TR - TURKEY,Yes,N,N,N,83,"1,500",13.573,"2,262",-,-,82.15,1000,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,ADA-ADANA,TR-TURKEY,1,1,1,1,0,0
19,1000033,1,1,3,Consol,Consolidation,2021,202106,2021/25,00:00.0,23.06.2021,Customer 26,EY - ETIHAD CRYSTAL CARGO,EXW,97311,FRESNO,US - UNITED STATES OF AMERICA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,3,528,4.32,720,-,-,"2,051.77",500,-,LAX-LOS ANGELES,US-UNITED STATES OF AMERICA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
20,1000034,1,1,3,Direct,Prime,2021,202106,2021/23,00:00.0,07.06.2021,Customer 16,EY - ETIHAD CRYSTAL CARGO,FOB,0,ZHEIJANG,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,-451.1,1,-,PVG-SHANGHAI,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
21,1000035,1,1,3,Direct,Prime,2021,202105,2021/21,00:00.0,25.05.2021,Customer 16,ET - ETHIOPIAN AIRLINES,FOB,560022,BANGALORE,IN - INDIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,99,"1,790",9.504,"1,790",-,-,0,1000,-,BLR-BENGALURU,IN-INDIA,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
22,1000036,1,1,3,Consol,Consolidation,2021,202105,2021/21,00:00.0,24.05.2021,Customer 17,KL - KLM - ROYAL DUTCH AIRLINES,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,2,154,1.056,176,-,-,126.59,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
23,1000037,1,1,3,Consol,Consolidation,2021,202105,2021/20,00:00.0,23.05.2021,Customer 27,EK - EMIRATES AIRLINES,FOB,315000,NINGBO,CN - CHINA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,-79.13,1,-,PVG-SHANGHAI,CN-CHINA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
24,1000038,1,0,3,B-to-B,Back-to-Back,2021,202105,2021/20,00:00.0,21.05.2021,Customer 28,BA - BRITISH AIRWAYS LTD,CIP,47000,SELANGOR,MY - MALAYSIA,KA292RW,"PRESTWICK, AYRSHI",GB - UNITED KINGDOM,Yes,N,N,N,1,105,1.723,287,-,-,236.63,250,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,GLA-GLASGOW,GB-UNITED KINGDOM,1,1,1,1,0,0
25,1000039,1,0,3,Master,Prime,2021,202105,2021/20,00:00.0,21.05.2021,Customer 29,BA - BRITISH AIRWAYS LTD,CIF,-,DUBAI,AE - UNITED ARAB EMIRATES,WS11 0XG,CANNOCK,GB - UNITED KINGDOM,Yes,N,N,N,0,105,1.723,287,-,-,0,250,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,GLA-GLASGOW,GB-UNITED KINGDOM,0,0,0,0,0,0
26,1000040,1,1,3,Direct,Prime,2021,202105,2021/18,00:00.0,06.05.2021,Customer 16,SV - SAUDI ARABIAN AIRLINES,FOB,0,SHENZHEN,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,-337.88,1,-,CAN-GUANGZHOU,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,1,0,1,0,0
27,1000041,1,1,3,Consol,Consolidation,2021,202105,2021/18,00:00.0,06.05.2021,Customer 27,EK - EMIRATES AIRLINES,FOB,0,SHENZHEN,CN - CHINA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,4,12,0.064,12,-,-,-301.64,10,-,CAN-GUANGZHOU,CN-CHINA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,1,0,1,0,0
28,1000042,1,1,3,Consol,Consolidation,2021,202105,2021/18,00:00.0,03.05.2021,Customer 17,LH - LUFTHANSA,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,2,239,1.987,331,-,-,121.39,250,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
29,1000043,1,0,3,Non freight,Prime,2021,202104,2021/17,00:00.0,29.04.2021,Customer 30,BVA - BEURTVAARTADRES,CFR,.,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,-40.85,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
30,1000044,1,1,3,Consol,Consolidation,2021,202104,2021/17,00:00.0,28.04.2021,Customer 27,SV - SAUDI ARABIAN AIRLINES,FOB,0,ZHEIJANG,CN - CHINA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,5,72,0.566,94,-,-,-341.3,45,-,PVG-SHANGHAI,CN-CHINA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
31,1000045,1,1,3,Consol,Consolidation,2021,202104,2021/16,00:00.0,25.04.2021,Customer 27,SV - SAUDI ARABIAN AIRLINES,FOB,0,HANGZHOU,CN - CHINA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,6,52,0.312,52,-,-,-215.63,45,-,PVG-SHANGHAI,CN-CHINA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,1,0,1,0,0
32,1000046,1,1,3,Direct,Prime,2021,202104,2021/16,00:00.0,25.04.2021,Customer 16,EY - ETIHAD CRYSTAL CARGO,FOB,310000,HANGZHOU,CN - CHINA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,-283.59,1,-,PVG-SHANGHAI,CN-CHINA,RUH-RIYADH,SA-SAUDI ARABIA,1,1,0,1,0,0
33,1000047,1,1,3,Consol,Consolidation,2021,202104,2021/16,00:00.0,20.04.2021,Customer 5,LH - LUFTHANSA,EXW,79379,MUELLHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,117,0.528,117,-,-,59.09,100,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,0
34,1000048,1,1,3,Consol,Consolidation,2021,202104,2021/14,00:00.0,05.04.2021,Customer 31,QY - DHL AVIATION N.V.,FOB,90069,WEST HOLLYWOOD,US - UNITED STATES OF AMERICA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,5,42,0.009,42,-,-,66.71,40,-,LAX-LOS ANGELES,US-UNITED STATES OF AMERICA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
35,1000049,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,"17,700.86",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,0,0,0,0,0
36,1000050,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 32,BVA - BEURTVAARTADRES,EXW,.,DUBAI,AE - UNITED ARAB EMIRATES,21411,JEDDAH,SA - SAUDI ARABIA,Yes,N,N,N,45,"5,137",11.25,"5,137",-,-,"1,849.94",5000,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,JED-JEDDAH,SA-SAUDI ARABIA,1,1,1,1,0,0
37,1000051,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,790,0,0,0,-,-,194.57,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
38,1000052,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,"7,095",0,0,0,-,-,"1,532.33",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
39,1000053,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,401.03,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
40,1000054,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,495.1,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
41,1000055,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,324.29,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
42,1000056,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,346.07,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
43,1000057,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,"17,009.16",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
44,1000058,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,"1,856.63",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
45,1000059,1,1,3,Direct,Prime,2021,202103,2021/13,00:00.0,31.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,"1,117.69",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
46,1000060,1,1,3,Consol,Consolidation,2021,202103,2021/13,00:00.0,30.03.2021,Customer 33,QR - QATAR AIRWAYS,EXW,93727,FRESNO,US - UNITED STATES OF AMERICA,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,492,0.119,492,-,-,643.85,250,-,SFO-SAN FRANCISCO,US-UNITED STATES OF AMERICA,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
47,1000061,1,1,3,Direct,Prime,2021,202103,2021/12,00:00.0,26.03.2021,Customer 34,BVA - BEURTVAARTADRES,EXW,0,DOHA,QR - BOORDPROV INTRACOMM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,13,0.136,23,-,-,0,20,-,DOH-DOHA,QA-QATAR,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
48,1000062,1,1,3,Direct,Prime,2021,202103,2021/12,00:00.0,24.03.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,"2,842.14",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
49,1000063,1,1,3,Direct,Prime,2021,202103,2021/12,00:00.0,23.03.2021,Customer 35,BVA - BEURTVAARTADRES,EXW,47329,VILLAVAQUERIN,ES - SPAIN,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,4,0.96,160,-,-,49.51,100,-,BCN-BARCELONA,ES-SPAIN,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
50,1000064,1,1,3,Direct,Prime,2021,202103,2021/09,00:00.0,02.03.2021,Customer 35,BVA - BEURTVAARTADRES,EXW,46514,SCHERMBECK,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,1,16,0.001,16,-,-,30.7,15,-,FRA-FRANKFURT,DE-GERMANY,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,0,0
51,1000065,1,1,3,Consol,Consolidation,2021,202103,2021/09,00:00.0,01.03.2021,Customer 36,EK - EMIRATES AIRLINES,EXW,8219 PZ,LELYSTAD,NL - THE NETHERLANDS,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,2,56,0.132,56,-,-,298.41,45,-,AMS-AMSTERDAM,NL-NETHERLANDS,DXB-DUBAI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
52,1000066,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,360.19,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
53,1000067,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,707,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
54,1000068,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,"4,178.89",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
55,1000069,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,823.6,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
56,1000070,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,628.53,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,1,0,0
57,1000071,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,0,0,0,0,-,-,"4,177.16",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,CAI-CAIRO,EG-EGYPT,1,1,1,0,0,1
58,1000072,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,0,0,0,0,-,-,"3,713.25",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
59,1000073,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,434,0,0,0,-,-,337.66,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
60,1000074,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,"19,039",0,0,0,-,-,"4,713.10",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
61,1000075,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 27,BVA - BEURTVAARTADRES,EXW,-,DUBAI,AE - UNITED ARAB EMIRATES,-,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,6,0,0,0,-,-,12.38,1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
62,1000076,1,1,3,Direct,Prime,2021,202102,2021/08,00:00.0,28.02.2021,Customer 16,BVA - BEURTVAARTADRES,EXW,13414,RIYADH,SA - SAUDI ARABIA,13414,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,"6,441",0,0,0,-,-,"1,203.84",1,-,DXB-DUBAI,AE-UNITED ARAB EMIRATES,RUH-RIYADH,SA-SAUDI ARABIA,1,0,0,0,0,0
