,ShipmentNo_,Status,Direction,Product,ShipmentType,ProductType,Oper_Year,Oper_Period,ShipmentWeek,ShipmentDay,ShipmentDate,Principal,Carrier,Incoterm,ShipperPostcode,ShipperCity,ShipperCountry,ConsigneePostcode,ConsigneeCity,ConsigneeCountry,Invoiced,Insurance,LetterOfCredit,Dangerous,Pieces,ActualWeight(kg),Volume(cbm),Charg_Weight(kg),W/M,FCLTEU,GP(EUR),WeightGroup,TrackingNumber,(Air)PortofOrigin,OriginCountry,(Air)PortofDestination,DestinationCountry,MS1Count,MS2Count,MS3Count,MS4Count,MS5Count,MS6Count
1038,2100653,1,1,1,FCL,FCL,2019,201905,2019/21,00:00.0,25.05.2019,Customer 825,NYKS - NYK LINE RESIDENT REPRESENTATIVE,CFR,57319,BERLEBURG,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"21,321",25,-,25,2,159.93,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1039,2100654,1,0,1,FCL,FCL,2019,201906,2019/23,00:00.0,03.06.2019,Customer 479,CGMU - CMA CGM AND ANL (NE) LLC,FOB,.,SHARJAH,AE - UNITED ARAB EMIRATES,783 91,UNICOV,CZ - CZECH REPUBLIC,Yes,N,N,N,-,"18,870",80,-,80,4,38.69,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,HAMBURG,DE-GERMANY,1,1,1,1,0,0
1040,2100655,1,1,2,LCL,LCL,2019,201906,2019/22,00:00.0,02.06.2019,Customer 204,YMLU - YANG MING (U.A.E) L.L.C.,CFR,4700,EUPEN,BE - BELGIUM,21481,JEDDAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,807,4.231,-,4,0,268.22,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1041,2100656,1,1,2,LCL,LCL,2019,201906,2019/22,00:00.0,02.06.2019,Customer 727,YMLU - YANG MING (U.A.E) L.L.C.,CFR,1120,VIENNA,AT - AUSTRIA,.,SULTANATE OF OMAN,OM - OMAN,Yes,N,N,N,-,"1,191",3.168,-,3,0,-20.77,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1042,2100657,1,1,2,LCL,LCL,2019,201906,2019/22,00:00.0,02.06.2019,Customer 765,YMLU - YANG MING (U.A.E) L.L.C.,CFR,7023,POTTELSDORF,AT - AUSTRIA,11411,RIYADH,SA - SAUDI ARABIA,Yes,N,N,N,-,"4,790",10,-,10,0,0.4,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1043,2100658,1,1,2,LCL,LCL,2019,201906,2019/22,00:00.0,02.06.2019,Customer 466,YMLU - YANG MING (U.A.E) L.L.C.,CFR,8833,TEUFENBACH,AT - AUSTRIA,21438,JEDDAH,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,60,1,-,1,0,11.76,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1044,2100659,1,1,2,LCL,LCL,2019,201906,2019/22,00:00.0,02.06.2019,Customer 748,YMLU - YANG MING (U.A.E) L.L.C.,DAP,70806,KORNWESTHEIM,DE - GERMANY,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,376,3.6,-,4,0,479.14,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1045,2100660,1,1,2,LCL,LCL,2019,201906,2019/22,00:00.0,02.06.2019,Customer 424,YMLU - YANG MING (U.A.E) L.L.C.,CFR,40589,DUSSELDORF,DE - GERMANY,.,ABU DHABI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,792,5.155,-,5,0,394.41,-,-,ROTTERDAM,NL-NETHERLANDS,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1046,2100661,1,0,2,LCL,LCL,2019,201906,2019/22,00:00.0,02.06.2019,Customer 653,SHPT - SSC CONSOLIDATION SHIPCO,FOB,.,DUBAI,AE - UNITED ARAB EMIRATES,46446,EMMERICH AM RHEIN,DE - GERMANY,Yes,N,N,N,-,"4,100",10.001,-,10,0,149.47,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,HAMBURG,DE-GERMANY,1,0,1,1,0,0
1047,2100662,1,0,1,FCL,FCL,2019,201906,2019/23,00:00.0,07.06.2019,Customer 934,MAEU - MAERSK KANOO UAE LLC,CFR,.,DUBAI,AE - UNITED ARAB EMIRATES,07180-000,BRAZIL,BR - BRAZIL,Yes,N,N,N,-,"25,145",0,-,25,2,340.69,-,-,JEBEL ALI,AE-UNITED ARAB EMIRATES,SANTOS,BR-BRAZIL,1,1,1,1,0,0
1048,2100663,1,1,1,FCL,FCL,2019,201905,2019/22,00:00.0,29.05.2019,Customer 477,MSCU - MSC MEDITERRANEAN SHIPPING COMPANY (U.A.E.) L.L.C.,CFR,18546,PIRAEUS,GR - GREECE,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"9,817",0,-,10,2,82.54,-,-,BARCELONA,ES-SPAIN,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
1049,2100664,1,1,2,LCL,LCL,2019,201905,2019/22,00:00.0,31.05.2019,Customer 278,ECUI - ECU LINE MIDDLE EAST LLC,CFR,MK5 8WH,MILTON KEYNES,GB - UNITED KINGDOM,.,DUBAI,AE - UNITED ARAB EMIRATES,Yes,N,N,N,-,"1,916",16.498,-,16,0,621.64,-,-,LONDON GATEWAY PORT,GB-UNITED KINGDOM,JEBEL ALI,AE-UNITED ARAB EMIRATES,1,0,0,0,1,1
